,foot_start_index,foot_end_index,head_speed_zero_index,head_speed_max_index,head_speed_max_to_foot_end_time,net_start_index,net_speed_max_index,stair_type,walk_speed
0,3.7888509999999997,5.033283,0.566661,0.144443,1.0999889999999999,0.266664,1.211099,stair1,50
1,5.122171,6.22216,0.6666599999999999,0.144443,0.9555459999999999,0.255553,0.33332999999999996,stair1,50
2,1.799982,2.655529,0.46666199999999997,0.044444,0.8111029999999999,0.11110999999999999,0.844436,stair1,50
3,2.711084,3.7221849999999996,0.633327,0.133332,0.8777689999999999,0.23333099999999998,0.311108,stair1,50
4,3.655519,4.744396999999999,0.6666599999999999,0.188887,0.899991,0.288886,0.355552,stair1,50
5,4.799951999999999,5.99994,0.6666599999999999,0.211109,0.988879,0.322219,0.36666299999999996,stair1,50
6,2.277755,3.3333,0.5888829999999999,0.144443,0.911102,0.16666499999999998,0.244442,stair1,50
7,3.3999659999999996,4.411067,0.622216,0.255553,0.755548,0.266664,0.266664,stair1,50
72,2.277755,3.4666319999999997,0.755548,0.266664,0.922213,0.388885,1.144433,stair1,50
73,3.5666309999999997,4.522177,0.5888829999999999,0.188887,0.766659,0.39999599999999996,0.49999499999999997,stair1,50
74,2.33331,3.533298,0.7333259999999999,0.266664,0.9333239999999999,0.411107,1.155544,stair1,50
75,3.588853,4.622176,0.622216,0.244442,0.7888809999999999,0.47777299999999995,0.544439,stair1,50
76,3.1444129999999997,4.255513,0.7222149999999999,0.23333099999999998,0.8777689999999999,0.355552,0.49999499999999997,stair1,50
77,4.322178999999999,5.3555019999999995,0.633327,0.22221999999999997,0.8111029999999999,0.488884,0.533328,stair1,50
78,1.4666519999999998,2.633307,0.6555489999999999,0.288886,0.8777689999999999,0.377774,1.133322,stair1,50
79,2.633307,3.744407,0.699993,0.23333099999999998,0.8777689999999999,0.544439,0.5888829999999999,stair1,50
80,3.5110759999999996,4.6555089999999995,0.688882,0.266664,0.8777689999999999,0.36666299999999996,1.1111,stair1,50
81,4.7110639999999995,5.688832,0.633327,0.244442,0.7333259999999999,0.422218,0.511106,stair1,50
82,2.477753,3.599964,0.6666599999999999,0.29999699999999996,0.822214,0.388885,1.077767,stair1,50
83,3.699963,4.6555089999999995,0.633327,0.244442,0.711104,0.43332899999999996,0.49999499999999997,stair1,50
132,1.22221,2.322199,0.711104,0.344441,0.755548,0.255553,0.377774,stair1,50
133,2.3555319999999997,3.599964,0.7888809999999999,0.255553,0.988879,0.33332999999999996,0.43332899999999996,stair1,50
134,1.2555429999999999,2.422198,0.644438,0.36666299999999996,0.7999919999999999,0.29999699999999996,0.36666299999999996,stair1,50
135,2.477753,3.5221869999999997,0.7333259999999999,0.16666499999999998,0.8777689999999999,0.288886,0.388885,stair1,50
136,1.1222109999999998,2.366643,0.5999939999999999,0.46666199999999997,0.77777,0.29999699999999996,0.49999499999999997,stair1,50
137,2.277755,3.3666329999999998,0.711104,0.23333099999999998,0.855547,0.322219,0.47777299999999995,stair1,50
138,1.144433,2.366643,0.688882,0.177776,1.0444339999999999,0.311108,0.388885,stair1,50
139,2.322199,3.4110769999999997,0.644438,0.177776,0.911102,0.33332999999999996,0.422218,stair1,50
140,1.1999879999999998,2.422198,0.611105,0.22221999999999997,0.9999899999999999,0.288886,0.422218,stair1,50
141,2.3555319999999997,3.6110749999999996,0.677771,0.211109,1.0444339999999999,0.39999599999999996,0.49999499999999997,stair1,50
142,1.22221,2.4110869999999998,0.633327,0.266664,0.922213,0.288886,0.411107,stair1,50
143,2.3999759999999997,3.3666329999999998,0.622216,0.177776,0.7888809999999999,0.36666299999999996,0.47777299999999995,stair1,50
144,1.211099,2.366643,0.699993,0.22221999999999997,0.9333239999999999,0.29999699999999996,0.43332899999999996,stair1,50
145,2.322199,3.644408,0.622216,0.211109,1.1111,0.311108,0.47777299999999995,stair1,50
176,2.377754,3.544409,0.577772,0.23333099999999998,0.9333239999999999,0.455551,0.5999939999999999,stair1,50
177,3.711074,4.633287,0.533328,0.16666499999999998,0.755548,0.322219,0.36666299999999996,stair1,50
178,2.277755,3.44441,0.5999939999999999,0.211109,0.9555459999999999,0.44443999999999995,0.544439,stair1,50
179,3.544409,4.522177,0.5222169999999999,0.29999699999999996,0.677771,0.355552,0.46666199999999997,stair1,50
180,2.388865,3.533298,0.711104,0.455551,0.688882,0.455551,0.49999499999999997,stair1,50
181,3.8332949999999997,4.77773,0.566661,0.311108,0.633327,0.411107,0.411107,stair1,50
182,2.5666409999999997,3.7777399999999997,0.766659,0.411107,0.7999919999999999,0.488884,0.611105,stair1,50
183,4.011070999999999,4.944395,0.577772,0.266664,0.6666599999999999,0.266664,0.36666299999999996,stair1,50
184,2.522197,3.688852,0.611105,0.244442,0.922213,0.388885,0.544439,stair1,50
185,3.855517,4.811063,0.611105,0.29999699999999996,0.6555489999999999,0.355552,0.355552,stair1,50
186,2.288866,3.7888509999999997,0.6555489999999999,0.266664,1.233321,0.388885,1.188877,stair1,50
187,3.644408,4.722175,0.611105,0.33332999999999996,0.7444369999999999,0.411107,1.011101,stair1,50
190,1.3888749999999999,2.5666409999999997,0.622216,0.188887,0.988879,0.355552,0.544439,stair1,50
191,2.688862,3.9444049999999997,0.688882,0.188887,1.066656,0.411107,0.5222169999999999,stair1,50
192,1.499985,2.655529,0.699993,0.155554,0.9999899999999999,0.344441,0.544439,stair1,50
193,2.655529,4.033293,0.6666599999999999,0.188887,1.188877,0.43332899999999996,0.5222169999999999,stair1,50
194,1.3110979999999999,2.5555299999999996,0.711104,0.255553,0.988879,0.44443999999999995,0.55555,stair1,50
195,2.644418,3.922183,0.677771,0.22221999999999997,1.055545,0.39999599999999996,0.411107,stair1,50
196,1.477763,2.633307,0.6555489999999999,0.19999799999999998,0.9555459999999999,0.377774,0.544439,stair1,50
197,2.6777509999999998,3.9444049999999997,0.755548,0.23333099999999998,1.033323,0.39999599999999996,1.22221,stair1,50
198,1.1111,2.5555299999999996,0.8666579999999999,0.255553,1.188877,0.47777299999999995,0.6555489999999999,stair1,50
199,2.422198,3.8332949999999997,0.766659,0.244442,1.166655,0.544439,0.644438,stair1,50
200,1.433319,2.633307,0.677771,0.244442,0.9555459999999999,0.36666299999999996,0.488884,stair1,50
201,2.6110849999999997,3.966627,0.755548,0.266664,1.088878,0.44443999999999995,0.566661,stair1,50
202,1.344431,2.5110859999999997,0.688882,0.22221999999999997,0.9444349999999999,0.377774,0.55555,stair1,50
203,2.577752,3.811073,0.7888809999999999,0.22221999999999997,1.011101,0.422218,0.5222169999999999,stair1,50
204,1.377764,2.633307,0.688882,0.19999799999999998,1.055545,0.39999599999999996,0.577772,stair1,50
205,2.577752,3.922183,0.699993,0.277775,1.066656,0.622216,0.622216,stair1,50
274,2.3555319999999997,3.11108,0.388885,0.011111,0.7444369999999999,0.09999899999999999,0.211109,stair1,50
275,3.233301,4.366623,0.611105,0.211109,0.922213,0.47777299999999995,0.544439,stair1,50
276,1.422208,2.6221959999999997,0.7444369999999999,0.33332999999999996,0.8666579999999999,0.488884,0.611105,stair1,50
277,2.6221959999999997,3.866628,0.677771,0.33332999999999996,0.911102,0.533328,0.577772,stair1,50
278,1.7333159999999999,2.844416,0.577772,0.23333099999999998,0.8777689999999999,0.377774,0.488884,stair1,50
279,3.2444119999999996,4.077737,0.411107,0.011111,0.822214,0.155554,0.16666499999999998,stair1,50
280,1.5999839999999999,2.7777499999999997,0.755548,0.255553,0.922213,0.47777299999999995,0.511106,stair1,50
281,2.844416,3.9777379999999996,0.611105,0.23333099999999998,0.899991,0.411107,0.488884,stair1,50
282,1.244432,2.3999759999999997,0.7444369999999999,0.23333099999999998,0.922213,0.47777299999999995,0.5999939999999999,stair1,50
283,2.855527,3.6221859999999997,0.266664,0.033333,0.7333259999999999,0.155554,0.188887,stair1,50
284,1.366653,2.422198,0.633327,0.188887,0.8666579999999999,0.355552,0.455551,stair1,50
285,2.811083,3.599964,0.344441,0.033333,0.755548,0.122221,0.177776,stair1,50
286,1.0999889999999999,2.233311,0.7222149999999999,0.244442,0.8888799999999999,0.46666199999999997,0.49999499999999997,stair1,50
287,2.388865,3.533298,0.766659,0.23333099999999998,0.911102,0.39999599999999996,0.44443999999999995,stair1,50
288,1.088878,2.488864,0.699993,0.22221999999999997,1.1777659999999999,0.544439,0.677771,stair1,50
326,1.7333159999999999,2.544419,0.266664,0.05555499999999999,0.755548,0.133332,0.244442,stair1,50
327,2.922193,3.711074,0.49999499999999997,0.122221,0.6666599999999999,0.22221999999999997,0.255553,stair1,50
328,1.4110969999999998,2.44442,0.611105,0.23333099999999998,0.7999919999999999,0.311108,0.422218,stair1,50
329,2.577752,3.6332969999999998,0.622216,0.355552,0.699993,0.44443999999999995,0.44443999999999995,stair1,50
398,1.1111,2.2999769999999997,0.688882,0.188887,0.9999899999999999,0.36666299999999996,0.488884,stair1,50
399,2.3555319999999997,3.3110779999999997,0.6666599999999999,0.177776,0.77777,0.29999699999999996,0.39999599999999996,stair1,50
400,0.8777689999999999,1.877759,0.633327,0.188887,0.8111029999999999,0.311108,0.39999599999999996,stair1,50
401,1.9222029999999999,2.899971,0.5999939999999999,0.133332,0.844436,0.355552,0.422218,stair1,50
402,0.966657,1.9888689999999998,0.5999939999999999,0.22221999999999997,0.7999919999999999,0.266664,0.355552,stair1,50
403,1.9999799999999999,3.066636,0.6666599999999999,0.144443,0.922213,0.311108,0.377774,stair1,50
404,0.7333259999999999,1.877759,0.6666599999999999,0.255553,0.8888799999999999,0.33332999999999996,0.43332899999999996,stair1,50
405,1.9110919999999998,2.8777489999999997,0.699993,0.177776,0.7888809999999999,0.33332999999999996,0.411107,stair1,50
406,0.766659,1.877759,0.5999939999999999,0.177776,0.9333239999999999,0.29999699999999996,0.422218,stair1,50
407,1.977758,2.9777479999999996,0.55555,0.211109,0.7888809999999999,0.29999699999999996,0.39999599999999996,stair1,50
408,0.8666579999999999,1.877759,0.566661,0.211109,0.7999919999999999,0.244442,0.344441,stair1,50
409,1.9222029999999999,2.811083,0.5999939999999999,0.144443,0.7444369999999999,0.29999699999999996,0.36666299999999996,stair1,50
410,0.822214,1.955536,0.577772,0.19999799999999998,0.9333239999999999,0.29999699999999996,0.39999599999999996,stair1,50
411,2.0333129999999997,2.9888589999999997,0.6666599999999999,0.188887,0.766659,0.311108,0.388885,stair1,50
412,0.688882,1.8110929999999998,0.5999939999999999,0.22221999999999997,0.899991,0.311108,0.422218,stair1,50
413,1.855537,2.911082,0.699993,0.155554,0.899991,0.355552,0.43332899999999996,stair1,50
414,0.77777,1.955536,0.622216,0.16666499999999998,1.011101,0.277775,0.377774,stair1,50
415,1.9444249999999998,2.966637,0.711104,0.155554,0.8666579999999999,0.322219,0.43332899999999996,stair1,50
478,1.711094,2.7666389999999996,0.611105,0.22221999999999997,0.833325,0.133332,0.133332,stair1,50
479,3.1888569999999996,3.899961,0.23333099999999998,0.022222,0.688882,0.077777,0.155554,stair1,50
480,0.966657,1.977758,0.55555,0.277775,0.7333259999999999,0.344441,0.455551,stair1,50
481,2.488864,3.211079,0.255553,0.022222,0.699993,0.066666,0.155554,stair1,50
554,1.344431,2.1888669999999997,0.377774,0.177776,0.6666599999999999,0.144443,0.7999919999999999,stair1,50
555,2.1999779999999998,3.433299,0.144443,0.622216,0.611105,0.144443,0.144443,stair1,50
556,1.144433,2.155534,0.766659,0.22221999999999997,0.7888809999999999,0.122221,0.566661,stair1,50
557,2.377754,3.3555219999999997,0.7444369999999999,0.11110999999999999,0.8666579999999999,0.077777,0.44443999999999995,stair1,50
8,1.8888699999999998,2.755528,0.122221,0.211109,0.6555489999999999,0.211109,0.288886,stair1,75
9,2.699973,3.533298,0.11110999999999999,0.288886,0.544439,0.266664,0.377774,stair1,75
10,2.2999769999999997,3.1444129999999997,0.5222169999999999,0.16666499999999998,0.677771,0.244442,0.355552,stair1,75
11,3.11108,3.922183,0.44443999999999995,0.244442,0.566661,0.244442,0.344441,stair1,75
12,2.377754,3.11108,0.44443999999999995,0.033333,0.699993,0.09999899999999999,0.211109,stair1,75
13,3.0444139999999997,3.911072,0.55555,0.144443,0.7222149999999999,0.244442,0.322219,stair1,75
14,2.366643,3.2555229999999997,0.5888829999999999,0.211109,0.677771,0.255553,0.855547,stair1,75
15,3.177746,4.011070999999999,0.644438,0.155554,0.677771,0.244442,0.355552,stair1,75
84,0.988879,1.822204,0.49999499999999997,0.211109,0.622216,0.244442,0.311108,stair1,75
85,1.7555379999999998,2.588863,0.577772,0.155554,0.677771,0.344441,0.36666299999999996,stair1,75
86,1.499985,2.3999759999999997,0.55555,0.22221999999999997,0.677771,0.311108,0.355552,stair1,75
87,2.311088,3.133302,0.5888829999999999,0.22221999999999997,0.5999939999999999,0.066666,0.44443999999999995,stair1,75
88,1.155544,2.0333129999999997,0.533328,0.244442,0.633327,0.277775,0.355552,stair1,75
89,2.011091,2.799972,0.533328,0.211109,0.577772,0.322219,0.36666299999999996,stair1,75
90,2.4555309999999997,3.3333,0.544439,0.19999799999999998,0.677771,0.288886,0.844436,stair1,75
91,3.266634,4.088848,0.611105,0.211109,0.611105,0.311108,0.36666299999999996,stair1,75
92,2.388865,3.266634,0.5222169999999999,0.188887,0.688882,0.266664,0.833325,stair1,75
93,3.1888569999999996,4.044404,0.5999939999999999,0.23333099999999998,0.622216,0.33332999999999996,0.422218,stair1,75
94,2.1444229999999997,2.9888589999999997,0.5222169999999999,0.19999799999999998,0.644438,0.266664,0.822214,stair1,75
95,2.944415,3.799962,0.644438,0.16666499999999998,0.688882,0.33332999999999996,0.377774,stair1,75
96,1.722205,2.588863,0.533328,0.211109,0.6555489999999999,0.266664,0.833325,stair1,75
97,2.533308,3.3666329999999998,0.566661,0.188887,0.644438,0.33332999999999996,0.377774,stair1,75
98,1.9999799999999999,2.866638,0.544439,0.188887,0.677771,0.266664,0.833325,stair1,75
99,2.8221939999999996,3.6777409999999997,0.5999939999999999,0.177776,0.677771,0.33332999999999996,0.388885,stair1,75
100,1.6555389999999999,2.522197,0.5222169999999999,0.155554,0.711104,0.277775,0.833325,stair1,75
101,2.477753,3.322189,0.5888829999999999,0.144443,0.699993,0.311108,0.8111029999999999,stair1,75
146,0.7333259999999999,1.6222059999999998,0.511106,0.188887,0.699993,0.244442,0.322219,stair1,75
147,1.5777619999999999,2.466642,0.55555,0.19999799999999998,0.688882,0.266664,0.311108,stair1,75
148,0.7444369999999999,1.6777609999999998,0.5999939999999999,0.23333099999999998,0.699993,0.255553,0.39999599999999996,stair1,75
149,1.6555389999999999,2.433309,0.566661,0.144443,0.633327,0.23333099999999998,0.33332999999999996,stair1,75
150,0.7333259999999999,1.633317,0.544439,0.188887,0.711104,0.255553,0.322219,stair1,75
151,1.6222059999999998,2.4110869999999998,0.577772,0.133332,0.6555489999999999,0.23333099999999998,0.29999699999999996,stair1,75
152,0.9333239999999999,1.7777599999999998,0.533328,0.177776,0.6666599999999999,0.244442,0.288886,stair1,75
153,1.7333159999999999,2.5666409999999997,0.5999939999999999,0.188887,0.644438,0.311108,0.355552,stair1,75
154,0.922213,1.711094,0.49999499999999997,0.155554,0.633327,0.211109,0.266664,stair1,75
155,1.688872,2.499975,0.5888829999999999,0.133332,0.677771,0.29999699999999996,0.355552,stair1,75
156,0.8888799999999999,1.744427,0.455551,0.16666499999999998,0.688882,0.22221999999999997,0.277775,stair1,75
157,1.66665,2.433309,0.511106,0.188887,0.577772,0.266664,0.33332999999999996,stair1,75
158,0.833325,1.633317,0.46666199999999997,0.19999799999999998,0.5999939999999999,0.22221999999999997,0.29999699999999996,stair1,75
159,1.611095,2.4110869999999998,0.5222169999999999,0.155554,0.644438,0.211109,0.277775,stair1,75
188,3.1444129999999997,4.055515,0.5999939999999999,0.23333099999999998,0.677771,0.29999699999999996,0.388885,stair1,75
189,4.088848,4.88884,0.49999499999999997,0.188887,0.611105,0.36666299999999996,0.36666299999999996,stair1,75
206,0.8666579999999999,1.7555379999999998,0.566661,0.177776,0.711104,0.23333099999999998,0.29999699999999996,stair1,75
207,1.688872,2.699973,0.711104,0.188887,0.822214,0.288886,0.388885,stair1,75
208,0.911102,1.766649,0.577772,0.133332,0.7222149999999999,0.244442,0.311108,stair1,75
209,1.6999829999999998,2.733306,0.677771,0.311108,0.7222149999999999,0.33332999999999996,1.011101,stair1,75
210,0.855547,1.766649,0.5999939999999999,0.16666499999999998,0.7444369999999999,0.277775,0.36666299999999996,stair1,75
211,1.722205,2.6221959999999997,0.6555489999999999,0.177776,0.7222149999999999,0.255553,0.377774,stair1,75
212,0.8777689999999999,1.744427,0.5888829999999999,0.155554,0.711104,0.255553,0.322219,stair1,75
213,1.6999829999999998,2.644418,0.6555489999999999,0.19999799999999998,0.7444369999999999,0.33332999999999996,0.43332899999999996,stair1,75
330,0.8111029999999999,1.5999839999999999,0.44443999999999995,0.177776,0.611105,0.22221999999999997,0.266664,stair1,75
331,1.588873,2.4110869999999998,0.544439,0.155554,0.6666599999999999,0.244442,0.266664,stair1,75
332,0.8666579999999999,1.6555389999999999,0.488884,0.155554,0.633327,0.244442,0.277775,stair1,75
333,1.644428,2.5110859999999997,0.488884,0.177776,0.688882,0.244442,0.33332999999999996,stair1,75
334,0.911102,1.7333159999999999,0.411107,0.177776,0.644438,0.22221999999999997,0.255553,stair1,75
335,1.66665,2.499975,0.533328,0.16666499999999998,0.6666599999999999,0.36666299999999996,0.36666299999999996,stair1,75
336,0.855547,1.6555389999999999,0.49999499999999997,0.188887,0.611105,0.23333099999999998,0.266664,stair1,75
337,1.66665,2.533308,0.49999499999999997,0.16666499999999998,0.699993,0.23333099999999998,0.255553,stair1,75
338,0.7888809999999999,1.6222059999999998,0.488884,0.19999799999999998,0.633327,0.244442,0.29999699999999996,stair1,75
339,1.611095,2.522197,0.55555,0.177776,0.7333259999999999,0.344441,0.377774,stair1,75
340,0.855547,1.711094,0.511106,0.188887,0.6666599999999999,0.266664,0.288886,stair1,75
341,1.711094,2.6221959999999997,0.455551,0.155554,0.755548,0.244442,0.255553,stair1,75
416,0.7333259999999999,1.5222069999999999,0.47777299999999995,0.077777,0.711104,0.133332,0.211109,stair1,75
417,1.4888739999999998,2.266644,0.566661,0.133332,0.644438,0.244442,0.33332999999999996,stair1,75
418,0.822214,1.5999839999999999,0.46666199999999997,0.09999899999999999,0.677771,0.155554,0.23333099999999998,stair1,75
419,1.511096,2.311088,0.566661,0.133332,0.6666599999999999,0.22221999999999997,0.29999699999999996,stair1,75
420,0.855547,1.644428,0.33332999999999996,0.077777,0.711104,0.144443,0.23333099999999998,stair1,75
421,1.566651,2.3999759999999997,0.566661,0.133332,0.699993,0.23333099999999998,0.33332999999999996,stair1,75
422,0.8888799999999999,1.722205,0.46666199999999997,0.11110999999999999,0.7222149999999999,0.177776,0.266664,stair1,75
423,1.644428,2.488864,0.5999939999999999,0.133332,0.711104,0.244442,0.33332999999999996,stair1,75
424,0.899991,1.66665,0.455551,0.09999899999999999,0.6666599999999999,0.133332,0.266664,stair1,75
425,1.644428,2.488864,0.533328,0.133332,0.711104,0.277775,0.36666299999999996,stair1,75
426,0.8777689999999999,1.688872,0.5222169999999999,0.133332,0.677771,0.19999799999999998,0.266664,stair1,75
427,1.6777609999999998,2.499975,0.311108,0.211109,0.611105,0.23333099999999998,0.311108,stair1,75
428,0.8888799999999999,1.644428,0.43332899999999996,0.077777,0.677771,0.133332,0.22221999999999997,stair1,75
429,1.6222059999999998,2.422198,0.43332899999999996,0.144443,0.6555489999999999,0.244442,0.322219,stair1,75
482,1.344431,2.211089,0.488884,0.211109,0.6555489999999999,0.211109,0.211109,stair1,75
483,2.1888669999999997,2.9777479999999996,0.47777299999999995,0.177776,0.611105,0.322219,0.355552,stair1,75
484,0.7888809999999999,1.6555389999999999,0.511106,0.188887,0.677771,0.122221,0.122221,stair1,75
485,1.855537,2.3999759999999997,0.22221999999999997,0.011111,0.533328,0.022222,0.09999899999999999,stair1,75
